id,nschcode,Rid,Index1,time,quadtime,orthtime,orthquad,test,effective,ses,timenonlin1,timenonlin2,timenonlin3,timenonlin
12,1,12,2,1,1,0,-2,58.98,0,-1.068,0.5,0.6,0.7,0.529
12,1,12,3,2,4,1,1,62.17,0,-1.068,1,1,1,1
13,2,1,1,0,0,-1,1,47.5378,1,-0.105,0,0,0,0
13,2,1,2,1,1,0,-2,51.532,1,-0.105,0.5,0.6,0.7,0.529
13,2,1,3,2,4,1,1,59.25690905,1,-0.105,1,1,1,1
14,2,2,1,0,0,-1,1,46.83,0,1.28,0,0,0,0
14,2,2,2,1,1,0,-2,53.7,0,1.28,0.5,0.6,0.7,0.529
14,2,2,3,2,4,1,1,52.09,0,1.28,1,1,1,1
15,2,3,1,0,0,-1,1,45.89,0,1.056,0,0,0,0
15,2,3,2,1,1,0,-2,52.95,0,1.056,0.5,0.6,0.7,0.529
15,2,3,3,2,4,1,1,56.16,0,1.056,1,1,1,1
16,2,4,1,0,0,-1,1,47.5378,1,0.8,0,0,0,0
16,2,4,2,1,1,0,-2,51.532,1,0.8,0.5,0.6,0.7,0.529
16,2,4,3,2,4,1,1,58.06268917,1,0.8,1,1,1,1
17,2,5,1,0,0,-1,1,34.11,0,0.733,0,0,0,0
17,2,5,2,1,1,0,-2,51.72,0,0.733,0.5,0.6,0.7,0.529
17,2,5,3,2,4,1,1,43.65,0,0.733,1,1,1,1
18,2,6,1,0,0,-1,1,47.5378,1,0.13,0,0,0,0
18,2,6,2,1,1,0,-2,51.532,1,0.13,0.5,0.6,0.7,0.529
18,2,6,3,2,4,1,1,60.87357414,1,0.13,1,1,1,1
19,2,7,1,0,0,-1,1,40.04,0,0.682,0,0,0,0
19,2,7,2,1,1,0,-2,35.03,0,0.682,0.5,0.6,0.7,0.529
19,2,7,3,2,4,1,1,34.99,0,0.682,1,1,1,1
20,2,8,1,0,0,-1,1,36.94,0,0.917,0,0,0,0
20,2,8,2,1,1,0,-2,43.72,0,0.917,0.5,0.6,0.7,0.529
20,2,8,3,2,4,1,1,48.66,0,0.917,1,1,1,1
21,2,9,1,0,0,-1,1,29.58,0,0.81,0,0,0,0
21,2,9,2,1,1,0,-2,40.52,0,0.81,0.5,0.6,0.7,0.529
21,2,9,3,2,4,1,1,37.41,0,0.81,1,1,1,1
22,2,10,1,0,0,-1,1,62.91,1,0.518,0,0,0,0
22,2,10,2,1,1,0,-2,72.84,1,0.518,0.5,0.6,0.7,0.529
22,2,10,3,2,4,1,1,67.57,1,0.518,1,1,1,1
23,2,11,1,0,0,-1,1,45.64,0,0.464,0,0,0,0
23,2,11,2,1,1,0,-2,29.42,0,0.464,0.5,0.6,0.7,0.529
23,2,11,3,2,4,1,1,52.45,0,0.464,1,1,1,1
24,2,12,1,0,0,-1,1,47.5648,1,0.552,0,0,0,0
24,2,12,2,1,1,0,-2,51.5814,1,0.552,0.5,0.6,0.7,0.529
24,2,12,3,2,4,1,1,50.05372912,1,0.552,1,1,1,1
25,2,13,1,0,0,-1,1,47.5648,1,1.002,0,0,0,0
25,2,13,2,1,1,0,-2,51.5814,1,1.002,0.5,0.6,0.7,0.529
25,2,13,3,2,4,1,1,53.25457717,1,1.002,1,1,1,1
26,3,1,1,0,0,-1,1,44.94,0,-0.302,0,0,0,0
26,3,1,2,1,1,0,-2,49.97,0,-0.302,0.5,0.6,0.7,0.529
26,3,1,3,2,4,1,1,55.6,0,-0.302,1,1,1,1
27,3,2,1,0,0,-1,1,52.69,0,-0.648,0,0,0,0
27,3,2,2,1,1,0,-2,69.16,0,-0.648,0.5,0.6,0.7,0.529
27,3,2,3,2,4,1,1,69.89,0,-0.648,1,1,1,1
28,3,3,1,0,0,-1,1,42.1,0,-0.448,0,0,0,0
28,3,3,2,1,1,0,-2,43.42,0,-0.448,0.5,0.6,0.7,0.529
28,3,3,3,2,4,1,1,54.22,0,-0.448,1,1,1,1
29,3,4,1,0,0,-1,1,49.29,0,-0.096,0,0,0,0
29,3,4,2,1,1,0,-2,57.56,0,-0.096,0.5,0.6,0.7,0.529
29,3,4,3,2,4,1,1,59.51,0,-0.096,1,1,1,1
30,3,5,1,0,0,-1,1,47.5648,1,-0.291,0,0,0,0
30,3,5,2,1,1,0,-2,51.5814,1,-0.291,0.5,0.6,0.7,0.529
30,3,5,3,2,4,1,1,57.74209061,1,-0.291,1,1,1,1
31,3,6,1,0,0,-1,1,47.5648,1,-1.65,0,0,0,0
31,3,6,2,1,1,0,-2,51.5815,1,-1.65,0.5,0.6,0.7,0.529
31,3,6,3,2,4,1,1,60.77583042,1,-1.65,1,1,1,1
32,3,7,1,0,0,-1,1,47.5648,1,-1.125,0,0,0,0
32,3,7,2,1,1,0,-2,51.5815,1,-1.125,0.5,0.6,0.7,0.529
32,3,7,3,2,4,1,1,65.25548613,1,-1.125,1,1,1,1
33,3,8,1,0,0,-1,1,47.91,0,-1.872,0,0,0,0
33,3,8,2,1,1,0,-2,56.62,0,-1.872,0.5,0.6,0.7,0.529
33,3,8,3,2,4,1,1,66.21,0,-1.872,1,1,1,1
34,3,9,1,0,0,-1,1,62.19,1,-0.602,0,0,0,0
34,3,9,2,1,1,0,-2,66.67,1,-0.602,0.5,0.6,0.7,0.529
34,3,9,3,2,4,1,1,79.72,1,-0.602,1,1,1,1
35,3,10,1,0,0,-1,1,47.5648,1,-0.922,0,0,0,0
35,3,10,2,1,1,0,-2,51.5815,1,-0.922,0.5,0.6,0.7,0.529
35,3,10,3,2,4,1,1,68.04955327,1,-0.922,1,1,1,1
36,3,11,1,0,0,-1,1,34.69,0,0.228,0,0,0,0
36,3,11,2,1,1,0,-2,39.58,0,0.228,0.5,0.6,0.7,0.529
36,3,11,3,2,4,1,1,40.85,0,0.228,1,1,1,1
37,3,12,1,0,0,-1,1,63.03,0,0.401,0,0,0,0
37,3,12,2,1,1,0,-2,64.79,0,0.401,0.5,0.6,0.7,0.529
37,3,12,3,2,4,1,1,56.23,0,0.401,1,1,1,1
38,3,13,1,0,0,-1,1,54.84,0,-0.119,0,0,0,0
38,3,13,2,1,1,0,-2,66.72,0,-0.119,0.5,0.6,0.7,0.529
38,3,13,3,2,4,1,1,68.78,0,-0.119,1,1,1,1
39,3,14,1,0,0,-1,1,57.11,0,-0.45,0,0,0,0
39,3,14,2,1,1,0,-2,60.18,0,-0.45,0.5,0.6,0.7,0.529
39,3,14,3,2,4,1,1,56.65,0,-0.45,1,1,1,1
40,3,15,1,0,0,-1,1,42.13,0,-0.246,0,0,0,0
40,3,15,2,1,1,0,-2,40.84,0,-0.246,0.5,0.6,0.7,0.529
40,3,15,3,2,4,1,1,51.39,0,-0.246,1,1,1,1
41,3,16,1,0,0,-1,1,38.95,0,-0.868,0,0,0,0
41,3,16,2,1,1,0,-2,47.68,0,-0.868,0.5,0.6,0.7,0.529
41,3,16,3,2,4,1,1,46.5,0,-0.868,1,1,1,1
42,3,17,1,0,0,-1,1,47.56,0,-0.986,0,0,0,0
42,3,17,2,1,1,0,-2,53.2,0,-0.986,0.5,0.6,0.7,0.529
42,3,17,3,2,4,1,1,61.45,0,-0.986,1,1,1,1
43,3,18,1,0,0,-1,1,42.15,0,0.132,0,0,0,0
43,3,18,2,1,1,0,-2,37.11,0,0.132,0.5,0.6,0.7,0.529
43,3,18,3,2,4,1,1,43.47,0,0.132,1,1,1,1
44,4,1,1,0,0,-1,1,47.6294,1,0.966,0,0,0,0
44,4,1,2,1,1,0,-2,51.6994,1,0.966,0.5,0.6,0.7,0.529
44,4,1,3,2,4,1,1,60.84674282,1,0.966,1,1,1,1
45,4,2,1,0,0,-1,1,59.45,1,0.823,0,0,0,0
45,4,2,2,1,1,0,-2,66.63,1,0.823,0.5,0.6,0.7,0.529
45,4,2,3,2,4,1,1,79.72,1,0.823,1,1,1,1
46,4,3,1,0,0,-1,1,37.1,0,-0.212,0,0,0,0
46,4,3,2,1,1,0,-2,44.29,0,-0.212,0.5,0.6,0.7,0.529
46,4,3,3,2,4,1,1,50.99,0,-0.212,1,1,1,1
47,4,4,1,0,0,-1,1,48.64,0,0.895,0,0,0,0
47,4,4,2,1,1,0,-2,49.7,0,0.895,0.5,0.6,0.7,0.529
47,4,4,3,2,4,1,1,63.56,0,0.895,1,1,1,1
48,4,5,1,0,0,-1,1,51.31,0,1.065,0,0,0,0
48,4,5,2,1,1,0,-2,48.79,0,1.065,0.5,0.6,0.7,0.529
48,4,5,3,2,4,1,1,50.3,0,1.065,1,1,1,1
49,4,6,1,0,0,-1,1,47.37,0,1.251,0,0,0,0
49,4,6,2,1,1,0,-2,49.31,0,1.251,0.5,0.6,0.7,0.529
49,4,6,3,2,4,1,1,46.89,0,1.251,1,1,1,1
50,4,7,1,0,0,-1,1,55.14,0,0.761,0,0,0,0
50,4,7,2,1,1,0,-2,51.59,0,0.761,0.5,0.6,0.7,0.529
50,4,7,3,2,4,1,1,58.57,0,0.761,1,1,1,1
51,4,8,1,0,0,-1,1,48.07,0,0.9,0,0,0,0
51,4,8,2,1,1,0,-2,52.33,0,0.9,0.5,0.6,0.7,0.529
51,4,8,3,2,4,1,1,40.29,0,0.9,1,1,1,1
52,4,9,1,0,0,-1,1,63.14,0,1.238,0,0,0,0
52,4,9,2,1,1,0,-2,59.53,0,1.238,0.5,0.6,0.7,0.529
52,4,9,3,2,4,1,1,59.92,0,1.238,1,1,1,1
53,4,10,1,0,0,-1,1,48.14,0,0.268,0,0,0,0
53,4,10,2,1,1,0,-2,54.19,0,0.268,0.5,0.6,0.7,0.529
53,4,10,3,2,4,1,1,60.15,0,0.268,1,1,1,1
54,4,11,1,0,0,-1,1,48.16,0,0.867,0,0,0,0
54,4,11,2,1,1,0,-2,55.26,0,0.867,0.5,0.6,0.7,0.529
54,4,11,3,2,4,1,1,58.39,0,0.867,1,1,1,1
55,4,12,1,0,0,-1,1,63.12,1,0.722,0,0,0,0
55,4,12,2,1,1,0,-2,67.7,1,0.722,0.5,0.6,0.7,0.529
55,4,12,3,2,4,1,1,74.36,1,0.722,1,1,1,1
56,4,13,1,0,0,-1,1,48.23,0,0.557,0,0,0,0
56,4,13,2,1,1,0,-2,50.12,0,0.557,0.5,0.6,0.7,0.529
56,4,13,3,2,4,1,1,48.41,0,0.557,1,1,1,1
57,4,14,1,0,0,-1,1,55.85,0,0.447,0,0,0,0
57,4,14,2,1,1,0,-2,52.96,0,0.447,0.5,0.6,0.7,0.529
57,4,14,3,2,4,1,1,52.41,0,0.447,1,1,1,1
58,4,15,1,0,0,-1,1,49.45,0,1.117,0,0,0,0
58,4,15,2,1,1,0,-2,54.17,0,1.117,0.5,0.6,0.7,0.529
58,4,15,3,2,4,1,1,52.31,0,1.117,1,1,1,1
59,4,16,1,0,0,-1,1,39.52,1,1.464,0,0,0,0
59,4,16,2,1,1,0,-2,42.13,1,1.464,0.5,0.6,0.7,0.529
59,4,16,3,2,4,1,1,49.77,1,1.464,1,1,1,1
60,4,17,1,0,0,-1,1,48.24,0,0.742,0,0,0,0
60,4,17,2,1,1,0,-2,56.77,0,0.742,0.5,0.6,0.7,0.529
60,4,17,3,2,4,1,1,59.24,0,0.742,1,1,1,1
61,5,1,1,0,0,-1,1,47.6295,1,-1.499,0,0,0,0
61,5,1,2,1,1,0,-2,51.6997,1,-1.499,0.5,0.6,0.7,0.529
61,5,1,3,2,4,1,1,56.8806401,1,-1.499,1,1,1,1
62,5,2,1,0,0,-1,1,42.5,0,0.579,0,0,0,0
62,5,2,2,1,1,0,-2,49.41,0,0.579,0.5,0.6,0.7,0.529
62,5,2,3,2,4,1,1,51.18,0,0.579,1,1,1,1
63,5,3,1,0,0,-1,1,47.6295,1,-0.319,0,0,0,0
63,5,3,2,1,1,0,-2,51.6997,1,-0.319,0.5,0.6,0.7,0.529
63,5,3,3,2,4,1,1,69.95067672,1,-0.319,1,1,1,1
64,5,4,1,0,0,-1,1,62.91,1,-0.172,0,0,0,0
64,5,4,2,1,1,0,-2,61.95,1,-0.172,0.5,0.6,0.7,0.529
64,5,4,3,2,4,1,1,59.46,1,-0.172,1,1,1,1
65,5,5,1,0,0,-1,1,59.77,1,-0.12,0,0,0,0
65,5,5,2,1,1,0,-2,70.32,1,-0.12,0.5,0.6,0.7,0.529
65,5,5,3,2,4,1,1,62.56,1,-0.12,1,1,1,1
66,5,6,1,0,0,-1,1,47.92,0,-0.025,0,0,0,0
66,5,6,2,1,1,0,-2,49.25,0,-0.025,0.5,0.6,0.7,0.529
66,5,6,3,2,4,1,1,62.3,0,-0.025,1,1,1,1
67,5,7,1,0,0,-1,1,57.04,1,-0.313,0,0,0,0
67,5,7,2,1,1,0,-2,59.9,1,-0.313,0.5,0.6,0.7,0.529
67,5,7,3,2,4,1,1,60.29,1,-0.313,1,1,1,1
68,5,8,1,0,0,-1,1,58.79,1,-0.479,0,0,0,0
68,5,8,2,1,1,0,-2,62.51,1,-0.479,0.5,0.6,0.7,0.529
68,5,8,3,2,4,1,1,70.86,1,-0.479,1,1,1,1
69,5,9,1,0,0,-1,1,47.6295,1,0.518,0,0,0,0
69,5,9,2,1,1,0,-2,51.6997,1,0.518,0.5,0.6,0.7,0.529
69,5,9,3,2,4,1,1,62.48798204,1,0.518,1,1,1,1
70,5,10,1,0,0,-1,1,69.25,1,-0.794,0,0,0,0
70,5,10,2,1,1,0,-2,74.78,1,-0.794,0.5,0.6,0.7,0.529
70,5,10,3,2,4,1,1,79.72,1,-0.794,1,1,1,1
71,5,11,1,0,0,-1,1,49.04,0,-0.8,0,0,0,0
71,5,11,2,1,1,0,-2,58.25,0,-0.8,0.5,0.6,0.7,0.529
71,5,11,3,2,4,1,1,66.07,0,-0.8,1,1,1,1
72,5,12,1,0,0,-1,1,48.03,0,-0.118,0,0,0,0
72,5,12,2,1,1,0,-2,60.21,0,-0.118,0.5,0.6,0.7,0.529
72,5,12,3,2,4,1,1,64.1,0,-0.118,1,1,1,1
73,5,13,1,0,0,-1,1,53.89,1,-0.614,0,0,0,0
73,5,13,2,1,1,0,-2,60.12,1,-0.614,0.5,0.6,0.7,0.529
73,5,13,3,2,4,1,1,67.21,1,-0.614,1,1,1,1
74,5,14,1,0,0,-1,1,57.57,1,-0.93,0,0,0,0
74,5,14,2,1,1,0,-2,71.91,1,-0.93,0.5,0.6,0.7,0.529
74,5,14,3,2,4,1,1,70.04,1,-0.93,1,1,1,1
75,5,15,1,0,0,-1,1,51.44,0,-0.449,0,0,0,0
75,5,15,2,1,1,0,-2,51.57,0,-0.449,0.5,0.6,0.7,0.529
75,5,15,3,2,4,1,1,59.53,0,-0.449,1,1,1,1
76,5,16,1,0,0,-1,1,54.95,0,-0.397,0,0,0,0
76,5,16,2,1,1,0,-2,55.37,0,-0.397,0.5,0.6,0.7,0.529
76,5,16,3,2,4,1,1,66.15,0,-0.397,1,1,1,1
77,5,17,1,0,0,-1,1,50.38,0,-0.686,0,0,0,0
77,5,17,2,1,1,0,-2,42.7,0,-0.686,0.5,0.6,0.7,0.529
77,5,17,3,2,4,1,1,59.9,0,-0.686,1,1,1,1
78,6,1,1,0,0,-1,1,44.51,0,-1.434,0,0,0,0
78,6,1,2,1,1,0,-2,54.76,0,-1.434,0.5,0.6,0.7,0.529
78,6,1,3,2,4,1,1,46.91,0,-1.434,1,1,1,1
79,6,2,1,0,0,-1,1,50.44,1,-0.122,0,0,0,0
79,6,2,2,1,1,0,-2,65.02,1,-0.122,0.5,0.6,0.7,0.529
79,6,2,3,2,4,1,1,66.56,1,-0.122,1,1,1,1
80,6,3,1,0,0,-1,1,58.66,0,0.064,0,0,0,0
80,6,3,2,1,1,0,-2,57.92,0,0.064,0.5,0.6,0.7,0.529
80,6,3,3,2,4,1,1,66.94,0,0.064,1,1,1,1
81,6,4,1,0,0,-1,1,46.08,0,1.154,0,0,0,0
81,6,4,2,1,1,0,-2,45.38,0,1.154,0.5,0.6,0.7,0.529
81,6,4,3,2,4,1,1,43.8,0,1.154,1,1,1,1
82,6,5,1,0,0,-1,1,47.6295,1,0.385,0,0,0,0
82,6,5,2,1,1,0,-2,51.6997,1,0.385,0.5,0.6,0.7,0.529
82,6,5,3,2,4,1,1,47.6400253,1,0.385,1,1,1,1
83,6,6,1,0,0,-1,1,52.42,0,0.132,0,0,0,0
83,6,6,2,1,1,0,-2,56.61,0,0.132,0.5,0.6,0.7,0.529
83,6,6,3,2,4,1,1,62.43,0,0.132,1,1,1,1
84,6,7,1,0,0,-1,1,54.84,1,1.286,0,0,0,0
84,6,7,2,1,1,0,-2,68.94,1,1.286,0.5,0.6,0.7,0.529
84,6,7,3,2,4,1,1,66.62,1,1.286,1,1,1,1
85,6,8,1,0,0,-1,1,58.03,1,-0.363,0,0,0,0
85,6,8,2,1,1,0,-2,67.71,1,-0.363,0.5,0.6,0.7,0.529
85,6,8,3,2,4,1,1,62.09,1,-0.363,1,1,1,1
86,6,9,1,0,0,-1,1,52.19,1,1.542,0,0,0,0
86,6,9,2,1,1,0,-2,55.4,1,1.542,0.5,0.6,0.7,0.529
86,6,9,3,2,4,1,1,61.01,1,1.542,1,1,1,1
87,6,10,1,0,0,-1,1,42.53,0,0.287,0,0,0,0
87,6,10,2,1,1,0,-2,50.21,0,0.287,0.5,0.6,0.7,0.529
87,6,10,3,2,4,1,1,56.43,0,0.287,1,1,1,1
88,6,11,1,0,0,-1,1,42.72,0,-0.524,0,0,0,0
88,6,11,2,1,1,0,-2,44.16,0,-0.524,0.5,0.6,0.7,0.529
88,6,11,3,2,4,1,1,43.07,0,-0.524,1,1,1,1
89,6,12,1,0,0,-1,1,47.6476,1,0.492,0,0,0,0
89,6,12,2,1,1,0,-2,51.7328,1,0.492,0.5,0.6,0.7,0.529
89,6,12,3,2,4,1,1,63.43764813,1,0.492,1,1,1,1
90,6,13,1,0,0,-1,1,47.6478,1,0.352,0,0,0,0
90,6,13,2,1,1,0,-2,51.7332,1,0.352,0.5,0.6,0.7,0.529
90,6,13,3,2,4,1,1,51.32311746,1,0.352,1,1,1,1
91,6,14,1,0,0,-1,1,41.21,0,-0.043,0,0,0,0
91,6,14,2,1,1,0,-2,43.02,0,-0.043,0.5,0.6,0.7,0.529
91,6,14,3,2,4,1,1,52.9,0,-0.043,1,1,1,1
92,6,15,1,0,0,-1,1,46.87,0,-0.12,0,0,0,0
92,6,15,2,1,1,0,-2,52.22,0,-0.12,0.5,0.6,0.7,0.529
92,6,15,3,2,4,1,1,62.14,0,-0.12,1,1,1,1
93,6,16,1,0,0,-1,1,47.6478,1,0.963,0,0,0,0
93,6,16,2,1,1,0,-2,51.7332,1,0.963,0.5,0.6,0.7,0.529
93,6,16,3,2,4,1,1,58.83774089,1,0.963,1,1,1,1
94,7,1,1,0,0,-1,1,42.68,0,1.036,0,0,0,0
94,7,1,2,1,1,0,-2,43.89,0,1.036,0.5,0.6,0.7,0.529
94,7,1,3,2,4,1,1,39.25,0,1.036,1,1,1,1
95,7,2,1,0,0,-1,1,43.27,0,0.249,0,0,0,0
95,7,2,2,1,1,0,-2,49.21,0,0.249,0.5,0.6,0.7,0.529
95,7,2,3,2,4,1,1,50.85,0,0.249,1,1,1,1
96,7,3,1,0,0,-1,1,47.6478,1,1.361,0,0,0,0
96,7,3,2,1,1,0,-2,51.7332,1,1.361,0.5,0.6,0.7,0.529
96,7,3,3,2,4,1,1,49.1671085,1,1.361,1,1,1,1
97,7,4,1,0,0,-1,1,46.16,0,0.11,0,0,0,0
97,7,4,2,1,1,0,-2,43.28,0,0.11,0.5,0.6,0.7,0.529
97,7,4,3,2,4,1,1,37.37,0,0.11,1,1,1,1
98,7,5,1,0,0,-1,1,48.16,0,-1.026,0,0,0,0
98,7,5,2,1,1,0,-2,47.61,0,-1.026,0.5,0.6,0.7,0.529
98,7,5,3,2,4,1,1,53.07,0,-1.026,1,1,1,1
99,7,6,1,0,0,-1,1,47.6478,1,0.128,0,0,0,0
99,7,6,2,1,1,0,-2,51.7332,1,0.128,0.5,0.6,0.7,0.529
99,7,6,3,2,4,1,1,60.64360628,1,0.128,1,1,1,1
100,7,7,1,0,0,-1,1,47.6478,1,-0.489,0,0,0,0
100,7,7,2,1,1,0,-2,51.7332,1,-0.489,0.5,0.6,0.7,0.529
100,7,7,3,2,4,1,1,60.64465876,1,-0.489,1,1,1,1
101,7,8,1,0,0,-1,1,47.6478,1,-0.979,0,0,0,0
101,7,8,2,1,1,0,-2,51.7332,1,-0.979,0.5,0.6,0.7,0.529
101,7,8,3,2,4,1,1,59.35640936,1,-0.979,1,1,1,1
102,7,9,1,0,0,-1,1,47.6479,1,0.909,0,0,0,0
102,7,9,2,1,1,0,-2,51.7333,1,0.909,0.5,0.6,0.7,0.529
102,7,9,3,2,4,1,1,69.38871691,1,0.909,1,1,1,1
103,7,10,1,0,0,-1,1,54.78,1,0.613,0,0,0,0
103,7,10,2,1,1,0,-2,67.41,1,0.613,0.5,0.6,0.7,0.529
103,7,10,3,2,4,1,1,72.19,1,0.613,1,1,1,1
104,7,11,1,0,0,-1,1,47.6479,1,0.302,0,0,0,0
104,7,11,2,1,1,0,-2,51.7334,1,0.302,0.5,0.6,0.7,0.529
104,7,11,3,2,4,1,1,59.08615035,1,0.302,1,1,1,1
105,7,12,1,0,0,-1,1,47.6479,1,-0.829,0,0,0,0
105,7,12,2,1,1,0,-2,51.7334,1,-0.829,0.5,0.6,0.7,0.529
105,7,12,3,2,4,1,1,59.53338827,1,-0.829,1,1,1,1
106,7,13,1,0,0,-1,1,47.6479,1,1.436,0,0,0,0
106,7,13,2,1,1,0,-2,51.7334,1,1.436,0.5,0.6,0.7,0.529
106,7,13,3,2,4,1,1,62.19108079,1,1.436,1,1,1,1
107,7,14,1,0,0,-1,1,47.6479,1,-0.419,0,0,0,0
107,7,14,2,1,1,0,-2,51.7334,1,-0.419,0.5,0.6,0.7,0.529
107,7,14,3,2,4,1,1,56.51797895,1,-0.419,1,1,1,1
108,7,15,1,0,0,-1,1,53.55,1,-0.668,0,0,0,0
108,7,15,2,1,1,0,-2,69.34,1,-0.668,0.5,0.6,0.7,0.529
108,7,15,3,2,4,1,1,66.01,1,-0.668,1,1,1,1
109,7,16,1,0,0,-1,1,47.6479,1,1.059,0,0,0,0
109,7,16,2,1,1,0,-2,51.7334,1,1.059,0.5,0.6,0.7,0.529
109,7,16,3,2,4,1,1,70.92230383,1,1.059,1,1,1,1
110,8,1,1,0,0,-1,1,47.6479,1,0.745,0,0,0,0
110,8,1,2,1,1,0,-2,51.7334,1,0.745,0.5,0.6,0.7,0.529
110,8,1,3,2,4,1,1,60.43457508,1,0.745,1,1,1,1
111,8,2,1,0,0,-1,1,55.79,1,0.842,0,0,0,0
111,8,2,2,1,1,0,-2,62.78,1,0.842,0.5,0.6,0.7,0.529
111,8,2,3,2,4,1,1,65.04,1,0.842,1,1,1,1
112,8,3,1,0,0,-1,1,43.45,0,1.084,0,0,0,0
112,8,3,2,1,1,0,-2,36.92,0,1.084,0.5,0.6,0.7,0.529
112,8,3,3,2,4,1,1,36.52,0,1.084,1,1,1,1
113,8,4,1,0,0,-1,1,47.6479,1,1.132,0,0,0,0
113,8,4,2,1,1,0,-2,51.7334,1,1.132,0.5,0.6,0.7,0.529
113,8,4,3,2,4,1,1,60.32955115,1,1.132,1,1,1,1
114,8,5,1,0,0,-1,1,51.51,1,1.231,0,0,0,0
114,8,5,2,1,1,0,-2,45.63,1,1.231,0.5,0.6,0.7,0.529
114,8,5,3,2,4,1,1,50.14,1,1.231,1,1,1,1
115,8,6,1,0,0,-1,1,48.91,0,0.881,0,0,0,0
115,8,6,2,1,1,0,-2,54.77,0,0.881,0.5,0.6,0.7,0.529
115,8,6,3,2,4,1,1,57.01,0,0.881,1,1,1,1
116,8,7,1,0,0,-1,1,47.6484,1,0.619,0,0,0,0
116,8,7,2,1,1,0,-2,51.7343,1,0.619,0.5,0.6,0.7,0.529
116,8,7,3,2,4,1,1,54.7337135,1,0.619,1,1,1,1
117,8,8,1,0,0,-1,1,36.67,0,0.147,0,0,0,0
117,8,8,2,1,1,0,-2,36.08,0,0.147,0.5,0.6,0.7,0.529
117,8,8,3,2,4,1,1,45.59,0,0.147,1,1,1,1
118,8,9,1,0,0,-1,1,27.86,0,0.82,0,0,0,0
118,8,9,2,1,1,0,-2,29.86,0,0.82,0.5,0.6,0.7,0.529
118,8,9,3,2,4,1,1,29.23,0,0.82,1,1,1,1
119,8,10,1,0,0,-1,1,47.6484,1,0.479,0,0,0,0
119,8,10,2,1,1,0,-2,51.7343,1,0.479,0.5,0.6,0.7,0.529
119,8,10,3,2,4,1,1,63.6739833,1,0.479,1,1,1,1
120,8,11,1,0,0,-1,1,33.52,0,0.024,0,0,0,0
120,8,11,2,1,1,0,-2,34.01,0,0.024,0.5,0.6,0.7,0.529
120,8,11,3,2,4,1,1,99.98,0,0.024,1,1,1,1
121,8,12,1,0,0,-1,1,55.53,1,-0.134,0,0,0,0
121,8,12,2,1,1,0,-2,53.82,1,-0.134,0.5,0.6,0.7,0.529
121,8,12,3,2,4,1,1,60.47,1,-0.134,1,1,1,1
